=================================================================
  HSW-SF Pretest Training Loop
  Device : mps
  Nodes  : 20  |  Episodes : 30  |  Steps/ep : 100
=================================================================
[Data] Loading EuroSAT dataset (this may take a moment if downloading...)
  Ep  13 | Step   20 | G-Step   1220 |  R=-0.320  V_top=1.3265  η=0.536  L_cut= 1  FALLBACK  T_loss=0.000  S_loss=0.815  CritL=263220917.3333  ActL=953.2411
  Ep  13 | Step   30 | G-Step   1230 |  R=-34657.634  V_top=1.3103  η=0.514  L_cut= 9  FALLBACK  T_loss=0.000  S_loss=0.952  CritL=246334453.6774  ActL=981.4874
  Ep  13 | Step   40 | G-Step   1240 |  R=-0.277  V_top=1.3995  η=0.524  L_cut= 4  FALLBACK  T_loss=0.000  S_loss=1.964  CritL=250154400.7805  ActL=1002.0258
  Ep  13 | Step   50 | G-Step   1250 |  R=-0.308  V_top=1.4146  η=0.579  L_cut= 2  FALLBACK  T_loss=0.000  S_loss=0.547  CritL=250178374.2745  ActL=1018.8962
  Ep  13 | Step   60 | G-Step   1260 |  R=-0.281  V_top=1.3919  η=0.501  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=0.915  CritL=239270364.0656  ActL=1034.3156
  Ep  13 | Step   70 | G-Step   1270 |  R=-0.284  V_top=1.4319  η=0.533  L_cut= 9  FALLBACK  T_loss=0.000  S_loss=1.479  CritL=242490648.3380  ActL=1053.7533
  Ep  13 | Step   80 | G-Step   1280 |  R=-0.259  V_top=1.4374  η=0.505  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.418  CritL=239400825.6790  ActL=1070.6679
  Ep  13 | Step   90 | G-Step   1290 |  R=-0.262  V_top=1.4417  η=0.569  L_cut= 3  FALLBACK  T_loss=0.000  S_loss=1.124  CritL=238165185.7582  ActL=1087.4444

>>> Episode  13 done  |  Return=-242631.84  Avg10=-242642.13  Time=22.8s  Buffer=21356  Alive_nodes=20/20

